row	matrix	label_orig	label_norm	fix
1	BMS	UNOCF	UNOCF	
2	Empty Matrix	0	0	
3	(0)	psi(0)=1	psi(0)=1	
4	(0)(0)	2	2	
5	(0)(0)(0)	3	3	
6	(0)(0)(0)(0)	4	4	
7	(0)(0)(0)(0)(0)	5	5	
8	(0)(1)	psi(1)=w	psi(1)=w	
9	(0)(1)(0)	w+1	w+1	
10	(0)(1)(0)(0)	w+2	w+2	
11	(0)(1)(0)(0)(0)	w+3	w+3	
12	(0)(1)(0)(1)	w2	w2	
13	(0)(1)(0)(1)(0)	w2+1	w2+1	
14	(0)(1)(0)(1)(0)(1)	w3	w3	
15	(0)(1)(1)	w^2 = psi(2)	w^2	alias2
16	(0)(1)(1)(0)	w^2+1	w^2+1	
17	(0)(1)(1)(0)(1)	w^2+w	w^2+w	
18	(0)(1)(1)(0)(1)(1)	w^2*2	w^2*2	
19	(0)(1)(1)(1)	w^3 = psi(3)	w^3	alias2
20	(0)(1)(2)	psi(w)	psi(w)	
21	(0)(1)(2)(0)	w^w+1	w^w+1	
22	(0)(1)(2)(0)(1)	w^w+2	w^w+2	
23	(0)(1)(2)(0)(1)(1)	w^w+w^2	w^w+w^2	
24	(0)(1)(2)(0)(1)(2)	w^w*2	w^w*2	
25	(0)(1)(2)(1)	w^(w+1) = psi(w+1)	w^(w+1)	alias2
26	(0)(1)(2)(1)(1)	w^(w+2) = psi(w+2)	w^(w+2)	alias2
27	(0)(1)(2)(1)(2)	w^(w2) = psi(w2)	w^(w2)	alias2
28	(0)(1)(2)(2)	w^w^2 = psi(psi(2))	w^w^2	alias2
29	(0)(1)(2)(3)	w^w^w = psi(psi(w))	w^w^w	alias2
30	(0)(1)(2)(3)(4)	w^w^w^w = psi(psi(psi(w)))	w^w^w^w	alias2
31	(0,0)(1,1)	psi(W)	psi(W)	
32	(0,0)(1,1)(0,0)	e0+1	e0+1	
33	(0,0)(1,1)(0,0)(1,0)	e0+w	e0+w	
34	(0,0)(1,1)(0,0)(1,0)(2,0)	e0+w^w	e0+w^w	
35	(0,0)(1,1)(0,0)(1,1)	e0*2	e0*2	
36	(0,0)(1,1)(0,0)(1,1)(0,0)(1,1)	e0*3	e0*3	
37	(0,0)(1,1)(1,0)	psi(W+1)	psi(W+1)	
38	(0,0)(1,1)(1,0)(0,0)(1,1)	e0*w+e0	e0*w+e0	
39	(0,0)(1,1)(1,0)(0,0)(1,1)(1,0)	e0*w2	e0*w2	
40	(0,0)(1,1)(1,0)(1,0)	e0*w^2 = psi(W+2)	psi(W+2)	alias2
41	(0,0)(1,1)(1,0)(2,0)	e0*w^w = psi(W+w)	psi(W+w)	alias2
42	(0,0)(1,1)(1,0)(2,0)(3,0)	e0*w^w^w = psi(W+w^w)	psi(W+w^w)	alias2
43	(0,0)(1,1)(1,0)(2,1)	e0^2 = psi(W+e0)	psi(W+e0)	alias2
44	(0,0)(1,1)(1,0)(2,1)(1,0)	e0^2*w = psi(W+e0+1)	psi(W+e0+1)	alias2
45	(0,0)(1,1)(1,0)(2,1)(1,0)(2,0)	e0^2*w^w = psi(W+e0+w)	psi(W+e0+w)	alias2
46	(0,0)(1,1)(1,0)(2,1)(1,0)(2,1)	e0^3 = psi(W+e0*2)	psi(W+e0*2)	alias2
