### R89c 木の不変量 |M|<=2 depth=7  (10.8s, 入口 73872 件)
  I1/ok                          383257
  I2/ok                          383257
  I3/VIOL                         18998
  I3/ok                          364259
  budget/cut                     202024
  leaf/single/fits                   10
  node/copy/j0=0                  39834
  node/copy/j0>=1                305832
  node/noparent                   36287
  node/zero                        1304
  tower/i1=0                       2875
  tower/i1=1                      33960
  tower/i1=2                       2999
  ⚠ I3: ((0, 0, 0), (0, 0, 0))

