#### (i) 値域を **<9** に固定して `|Q|` を動かす
      |Q|         段        核        核の率        減る段の核の率
        3      6698      194    2.8964%        4.0166%
        4     11258      577    5.1252%        5.9892%
        6     20897     1301    6.2258%        6.7141%
        8     31158     2533    8.1295%        8.5476%
       10     40085     3770    9.4050%        9.7615%
       12     50392     4578    9.0848%        9.3589%
       16     70979     6871    9.6803%        9.8814%
#### (ii) `|Q|` を **6** に固定して値域を動かす
       値域         段        核        核の率        減る段の核の率
        4     19514      821    4.2072%        4.6495%
        6     20584     1186    5.7618%        6.2978%
        9     20621     1467    7.1141%        7.6834%
       12     21090     1573    7.4585%        8.0231%
       16     21293     1612    7.5706%        8.1328%
       20     21556     1606    7.4504%        7.9789%
       28     21055     1562    7.4187%        7.8845%

#### 核の `|V|` の分布（値域<9、|Q|=8）
     {2: '22.7%', 3: '20.8%', 4: '16.5%', 5: '13.1%', 6: '14.1%', 7: '12.8%'}   (核 2639 本)
