row	alpha	branch	matrix
31	1	T1	(0,0)(1,1)
180	2) = psi(psi_2(0)) = psi(psi_I(1)	T1	(0,0)(1,1)(2,2)
241	3) = psi(psi_3(0)) = psi(psi_I(2)	T1	(0,0)(1,1)(2,2)(3,3)
261	4) = psi(psi_4(0)) = psi(psi_I(3)	T1	(0,0)(1,1)(2,2)(3,3)(4,4)
265	5) = psi(psi_I(4)	T1	(0,0)(1,1)(2,2)(3,3)(4,4)(5,5)
266	6) = psi(psi_I(5)	T1	(0,0)(1,1)(2,2)(3,3)(4,4)(5,5)(6,6)
267	w	T2	(0,0,0)(1,1,1)
780	(w+1)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)
913	(w+2)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)(4,3,0)
966	(w+3)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)
983	(w+4)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)
986	(w+5)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)(7,6,0)
987	(w+6)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)(7,6,0)(8,7,0)
988	(w2)	T2	(0,0,0)(1,1,1)(2,1,0)(3,2,1)
1218	(w2+1)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)
1266	(w2+2)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)
1275	(w2+3)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)(7,5,0)
1276	(w2+4)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)(7,5,0)(8,6,0)
1277	(w3)	T2	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)
1306	(w3+1)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)
1310	(w3+2)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)(8,5,0)
1311	(w4)	T2	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
1314	(w4+1)	T1	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,0)
1315	(w5)	T2	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)
1316	(w6)	T2	(0,0,0)(1,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)(10,5,0)(11,6,1)
1317	(w^2)	T2	(0,0,0)(1,1,1)(2,1,1)
1647	(w^2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)
1703	(w^2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)
1711	(w^2+3)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)
1713	(w^2+4)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)
1714	(w^2+5)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)(7,6,0)
1715	(w^2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)
1784	(w^2+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)
1801	(w^2+w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)
1804	(w^2+w+3)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)(7,5,0)
1805	(w^2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)
1823	(w^2+w2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)
1832	(w^2+w2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)(8,5,0)
1833	(w^2+w2+3)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)(8,5,0)(9,6,0)
1834	(w^2+w3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
1842	(w^2+w3+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,0)
1843	(w^2+w4)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)
1844	(w^2+w5)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)(10,5,0)(11,6,1)
1845	(w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)
1895	(w^2*2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)
1911	(w^2*2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(6,4,0)
1913	(w^2*2+3)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(6,4,0)(7,5,0)
1914	(w^2*2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)
1925	(w^2*2+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)
1927	(w^2*2+w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)(8,5,0)
